"","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","obj1","obj2","obj3","ambiguous","numFeatures"
"32","2","2179","4","121111","English","circle","0.6","cloud","0.65","solid","0.5","polka-dotted","0.65","green","0.2","blue","0.2","square","0.4","red","0.25",NA,NA,"313","232","131","True","8"
"33","2","1123","5","321212","English","solid","0.6","circle","0.2","red","1","square","0.7","polka-dotted","0.25",NA,NA,NA,NA,NA,NA,NA,NA,"232","312","312","True","5"
"34","2","1001","6","212212","English","circle","0.25","cloud","0.65","striped","0.65","blue","0.3","green","0.65","solid","0.3",NA,NA,NA,NA,NA,NA,"223","121","113","True","6"
"35","2","1971","7","323232","English","red","1","polka-dotted","1","circle","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232","232","232","False","3"
"36","2","930","8","212121","English","red","0.25","square","0.65","solid","0.25","blue","0.65","cloud","0.25","polka-dotted","0.7",NA,NA,NA,NA,NA,NA,"331","331","112","False","6"
"37","2","1284","9","111111","English","red","0.2","cloud","0.2","square","0.2","green","0.2","solid","0.2","blue","0.2","circle","0.2","striped","0.2","polka-dotted","0.2","223","111","332","False","9"
"38","2","2082","10","321111","English","green","1","square","0.2","striped","0.2","polka-dotted","0.2","circle","0.2","solid","0.2","cloud","0.25",NA,NA,NA,NA,"113","333","223","True","7"
"39","2","1381","11","113211","English","red","1","square","0.2","polka-dotted","0.2","circle","0.2","cloud","0.2","striped","0.2","solid","0.2",NA,NA,NA,NA,"332","122","212","True","7"
"40","2","1759","12","322132","English","cloud","0.25","circle","0.65","red","1","striped","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","222","122","True","4"
"41","2","927","13","212121","English","polka-dotted","1","solid","0.25","blue","1","circle","0.25","cloud","0.65","green","0.25",NA,NA,NA,NA,NA,NA,"131","131","213","False","6"
"42","2","1862","14","123212","English","red","1","polka-dotted","0.3","striped","0.7","square","0.7","cloud","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"132","322","322","True","5"
"43","2","1554","15","322121","English","red","0.25","striped","0.25","cloud","1","blue","0.7","polka-dotted","0.7",NA,NA,NA,NA,NA,NA,NA,NA,"131","131","122","True","5"
"44","2","1952","16","323232","English","polka-dotted","1","cloud","1","blue","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"45","2","650","17","112121","English","polka-dotted","0.25","blue","0.25","red","0.7","striped","0.25","square","0.25","solid","0.25","cloud","0.75",NA,NA,NA,NA,"132","122","311","True","7"
"46","3","21","3","122112","English","blue","0.75","square","0.3","polka-dotted","0.3","solid","0.8","cloud","0.8","red","0.25",NA,NA,NA,NA,NA,NA,"132","111","311","True","6"
"47","3","1663","4","121212","English","blue","0.2","red","0.85","polka-dotted","0.2","circle","0.2","cloud","0.8","striped","0.85",NA,NA,NA,NA,NA,NA,"231","122","122","False","6"
"48","3","399","5","122132","English","circle","0.2","blue","1","striped","0.2","polka-dotted","0.8","square","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"231","331","321","True","5"
"49","3","2002","6","322122","English","square","0.2","solid","0.25","red","0.95","cloud","0.75","striped","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"122","112","322","True","5"
"50","3","1910","7","111212","English","polka-dotted","0.25","green","0.2","circle","0.65","red","0.8","square","0.2","striped","0.25","solid","0.25",NA,NA,NA,NA,"313","232","222","True","7"
"51","3","1224","8","112112","English","red","0.25","circle","0.15","green","0.8","cloud","0.25","polka-dotted","0.8","solid","0.15","square","0.2",NA,NA,NA,NA,"313","233","132","True","7"
"52","3","1791","9","322132","English","polka-dotted","0.2","cloud","1","red","0.95","striped","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","122","132","True","4"
"53","3","109","10","212111","English","blue","0.2","cloud","0.2","striped","0.75","square","0.75","green","0.2","red","0.25","polka-dotted","0.2",NA,NA,NA,NA,"322","321","133","True","7"
"54","3","1952","11","323232","English","polka-dotted","1","cloud","0.95","blue","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"55","3","1530","12","322112","English","green","0.95","square","0.25","cloud","0.8","striped","0.25","solid","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"123","113","313","True","5"
"56","3","1997","13","323232","English","cloud","0.95","red","0.95","solid","0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","112","112","False","3"
"57","3","410","14","321112","English","blue","0.2","solid","1","red","0.25","cloud","0.7","square","0.2","green","0.25",NA,NA,NA,NA,NA,NA,"311","112","113","True","6"
"58","3","2227","15","323211","English","cloud","0.25","polka-dotted","0.95","square","0.25","blue","0.95","circle","0.25",NA,NA,NA,NA,NA,NA,NA,NA,"231","131","331","True","5"
"59","3","1272","16","111111","English","solid","0.2","polka-dotted","0.2","circle","0.2","striped","0.2","green","0.2","red","0.2","blue","0.2","cloud","0.2","square","0.2","122","333","211","False","9"
"60","3","1980","17","323232","English","blue","0.95","cloud","1","solid","0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","111","111","False","3"
"61","4","523","3","112132","english","polka-dotted","0.3","square","0.65","red","0.8","solid","0.55","circle","0.75","cloud","0.6",NA,NA,NA,NA,NA,NA,"212","112","332","True","6"
"62","4","1965","4","323232","english","cloud","0.9","blue","0.95","solid","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","111","111","False","3"
"63","4","932","5","212121","english","green","0.6","blue","0.7","polka-dotted","0.5","solid","0.35","circle","0.6","square","0.5",NA,NA,NA,NA,NA,NA,"311","311","233","False","6"
"64","4","1933","6","111212","english","square","0.6","polka-dotted","0.4","red","0.3","cloud","0.35","solid","0.5","striped","0.35","green","0.45",NA,NA,NA,NA,"122","333","313","True","7"
"65","4","1078","7","113212","english","solid","0.9","square","0.85","green","0.9","circle","0.7","striped","0.5","cloud","0.6",NA,NA,NA,NA,NA,NA,"123","213","313","True","6"
"66","4","1443","8","322111","english","red","0.35","solid","0.5","polka-dotted","0.5","blue","0.6","striped","0.4","square","0.6",NA,NA,NA,NA,NA,NA,"321","331","312","True","6"
"67","4","1399","9","113211","english","striped","0.5","red","0.65","square","0.35","blue","0.6","cloud","0.5","circle","0.35","green","0.5",NA,NA,NA,NA,"123","221","322","True","7"
"68","4","1277","10","111111","english","square","0.35","red","0.35","green","0.25","circle","0.4","striped","0.2","blue","0.4","polka-dotted","0.3","cloud","0.25","solid","0.35","331","212","123","False","9"
"69","4","1624","11","211112","english","red","0.2","green","0.3","circle","0.5","blue","0.25","polka-dotted","0.35","solid","0.3","cloud","0.35",NA,NA,NA,NA,"133","231","212","True","7"
"70","4","875","12","112122","english","striped","0.25","circle","0.4","square","0.2","blue","0.3","solid","0.2","red","0.35","polka-dotted","0.25",NA,NA,NA,NA,"322","331","212","True","7"
"71","4","916","13","212121","english","solid","0.4","circle","0.5","cloud","0.5","striped","0.25","green","0.6","blue","0.3",NA,NA,NA,NA,NA,NA,"123","123","211","False","6"
"72","4","533","14","112132","english","striped","0.35","solid","0.5","circle","0.3","polka-dotted","0.2","red","0.65","square","0.25",NA,NA,NA,NA,NA,NA,"232","222","312","True","6"
"73","4","1959","15","323232","english","polka-dotted","0.9","red","0.95","square","0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"332","332","332","False","3"
"74","4","1362","16","113211","english","green","0.4","red","0.5","square","0.6","blue","0.25","solid","0.4","cloud","0.6","circle","0.4",NA,NA,NA,NA,"213","112","311","True","7"
"75","4","1850","17","122121","english","green","0.6","solid","0.3","striped","0.5","circle","0.65","cloud","0.4","blue","0.7",NA,NA,NA,NA,NA,NA,"221","211","113","True","6"
"91","6","1118","3","321212","English","blue","0.7","green","0.75","cloud","0.6","solid","0.7","circle","0.65",NA,NA,NA,NA,NA,NA,NA,NA,"211","113","113","True","5"
"92","6","1715","4","212112","English","square","0.7","solid","0.8","blue","0.65","red","0.75","circle","0.85","striped","0.8",NA,NA,NA,NA,NA,NA,"211","212","322","True","6"
"93","6","1180","5","212232","English","striped","0.7","polka-dotted","0.8","cloud","0.75","green","0.85","blue","0.85",NA,NA,NA,NA,NA,NA,NA,NA,"131","133","121","True","5"
"94","6","791","6","211212","English","striped","0.8","blue","0.7","circle","0.75","red","0.7","cloud","0.85","polka-dotted","0.65",NA,NA,NA,NA,NA,NA,"131","221","222","True","6"
"95","6","333","7","213211","English","circle","0.8","polka-dotted","0.7","square","0.85","blue","0.7","cloud","0.8","solid","0.85",NA,NA,NA,NA,NA,NA,"231","331","111","True","6"
"96","6","632","8","112121","English","blue","0.9","solid","0.85","square","0.8","cloud","0.75","green","0.8","striped","0.65","circle","0.8",NA,NA,NA,NA,"121","321","213","True","7"
"97","6","1669","9","121212","English","green","0.85","square","0.8","solid","0.75","striped","0.8","red","0.7","cloud","0.7",NA,NA,NA,NA,NA,NA,"123","312","312","False","6"
"98","6","2269","10","213232","English","striped","0.8","cloud","0.7","polka-dotted","0.75","red","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","122","132","True","4"
"99","6","945","11","212121","English","square","0.8","red","0.75","cloud","0.7","striped","0.8","blue","0.65","solid","0.8",NA,NA,NA,NA,NA,NA,"311","311","122","False","6"
"100","6","101","12","212111","English","polka-dotted","0.9","striped","0.85","green","0.7","blue","0.75","square","0.8","cloud","0.7","circle","0.8",NA,NA,NA,NA,"323","123","231","True","7"
"101","6","2179","13","121111","English","blue","0.85","red","0.8","circle","0.9","polka-dotted","0.8","green","0.9","square","0.75","cloud","0.75","solid","0.75",NA,NA,"313","232","131","True","8"
"102","6","1654","14","121212","English","polka-dotted","0.8","green","0.8","circle","0.85","solid","0.95","cloud","0.85","blue","0.8",NA,NA,NA,NA,NA,NA,"131","213","213","False","6"
"103","6","1975","15","323232","English","polka-dotted","0.85","circle","0.65","green","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233","233","233","False","3"
"104","6","1245","16","112112","English","polka-dotted","0.9","striped","0.9","cloud","0.8","solid","0.85","green","0.7","square","0.75","blue","0.85",NA,NA,NA,NA,"123","333","311","True","7"
"105","6","915","17","212121","English","square","1","blue","0.75","striped","0.8","solid","0.85","green","0.7","cloud","0.75",NA,NA,NA,NA,NA,NA,"113","113","321","False","6"
"106","7","1538","3","322112","English","circle","0.05","green","0.8","red","0.6","solid","0.6","striped","0.6",NA,NA,NA,NA,NA,NA,NA,NA,"223","222","212","True","5"
"107","7","521","4","112132","English","polka-dotted","1","red","1","solid","0.95","striped","1","blue","0.75","square","0.1",NA,NA,NA,NA,NA,NA,"331","321","312","True","6"
"108","7","1961","5","323232","English","green","0.7","solid","0.7","square","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"313","313","313","False","3"
"109","7","1657","6","121212","English","cloud","0.95","polka-dotted","0.6","red","1","circle","0.65","solid","0.9","green","0.7",NA,NA,NA,NA,NA,NA,"112","233","233","False","6"
"110","7","2037","7","322122","English","red","0.9","square","0.95","circle","0.65","green","0.65","solid","0.2",NA,NA,NA,NA,NA,NA,NA,NA,"213","212","313","True","5"
"111","7","914","8","212121","English","polka-dotted","0.95","green","0.65","striped","0.65","blue","1","circle","0.6","square","0.9",NA,NA,NA,NA,NA,NA,"223","223","331","False","6"
"112","7","933","9","212121","English","cloud","0.6","blue","1","square","1","solid","0.95","striped","0.6","green","0.6",NA,NA,NA,NA,NA,NA,"123","123","311","False","6"
"113","7","1478","10","123211","English","circle","0.95","green","0.95","polka-dotted","0.2","blue","0.95","red","0.95","cloud","0.65",NA,NA,NA,NA,NA,NA,"233","131","132","True","6"
"114","7","1103","11","321212","English","solid","0.95","blue","0.65","red","1","circle","0.3","striped","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"212","221","221","True","5"
"115","7","756","12","211212","English","polka-dotted","0.75","red","0.75","green","0.95","square","0.75","striped","0.95","circle","1",NA,NA,NA,NA,NA,NA,"222","332","333","True","6"
"116","7","1866","13","123212","English","solid","0.9","green","0.3","square","0.8","circle","0.95","striped","0.95",NA,NA,NA,NA,NA,NA,NA,NA,"223","313","313","True","5"
"117","7","1043","14","212212","English","cloud","0.7","circle","0.95","green","0.95","solid","0.85","red","0.85","polka-dotted","0.95",NA,NA,NA,NA,NA,NA,"212","132","113","True","6"
"118","7","1668","15","121212","English","cloud","0.95","striped","1","blue","0.6","green","0.95","circle","0.6","solid","0.6",NA,NA,NA,NA,NA,NA,"123","211","211","False","6"
"119","7","825","16","112111","English","circle","1","striped","1","square","0.95","solid","0.95","polka-dotted","1","red","0.95","blue","0.65","cloud","0.95",NA,NA,"131","221","312","True","8"
"120","7","816","17","112111","English","striped","0.95","polka-dotted","0.95","green","0.65","red","1","cloud","1","circle","0.95","square","0.95","solid","0.95",NA,NA,"213","123","332","True","8"
"136","9","489","3","211111","English","square","0.2","red","0.65","blue","0.5","polka-dotted","0.15","solid","0.6","striped","0.8","circle","0.25","cloud","0.75",NA,NA,"311","121","232","True","8"
"137","9","2249","4","323211","English","solid","0.25","cloud","0.65","circle","0.6","red","0.25","square","0.1",NA,NA,NA,NA,NA,NA,NA,NA,"112","212","312","True","5"
"138","9","312","5","213211","English","polka-dotted","0.85","cloud","0.75","solid","0.25","circle","0.8","blue","0.55","striped","0.15",NA,NA,NA,NA,NA,NA,"121","131","211","True","6"
"139","9","1664","6","121212","English","cloud","0.55","blue","0.25","green","0.85","square","0.7","striped","0.5","solid","0.1",NA,NA,NA,NA,NA,NA,"321","113","113","False","6"
"140","9","1688","7","121212","English","red","0.25","circle","0.75","cloud","0.15","striped","0.9","polka-dotted","0.75","blue","0.45",NA,NA,NA,NA,NA,NA,"232","121","121","False","6"
"141","9","1270","8","111111","English","circle","0.75","polka-dotted","0.7","red","0.25","solid","0.9","striped","0.6","square","0.1","cloud","0.9","green","0.85","blue","0.3","332","111","223","False","9"
"142","9","535","9","112132","English","red","0.1","square","0.8","blue","0.8","green","0.9","striped","0.3","polka-dotted","0.3",NA,NA,NA,NA,NA,NA,"322","321","333","True","6"
"143","9","679","10","212211","English","solid","0.85","square","0.15","red","0.7","circle","0.6","polka-dotted","0.1","blue","0.65","striped","0.35",NA,NA,NA,NA,"232","312","221","True","7"
"144","9","1972","11","323232","English","blue","0.25","cloud","0.15","polka-dotted","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"145","9","1752","12","322132","English","cloud","0.2","polka-dotted","0.95","red","0.75","circle","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","132","232","True","4"
"146","9","1676","13","121212","English","circle","0.35","solid","0.2","blue","0.75","square","0.5","striped","0.25","red","0.9",NA,NA,NA,NA,NA,NA,"222","311","311","False","6"
"147","9","569","14","213212","English","cloud","0.85","green","0.55","blue","0.75","polka-dotted","0.05","striped","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"123","133","131","True","5"
"148","9","2255","15","213232","English","square","0.15","solid","0.65","blue","0.3","green","0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311","311","313","True","4"
"149","9","1017","16","212212","English","solid","0.45","square","0.1","cloud","0.75","polka-dotted","0.55","red","0.95","green","0.15",NA,NA,NA,NA,NA,NA,"313","332","112","True","6"
"150","9","1813","17","122121","English","square","0.8","red","0.4","striped","0.75","green","0.75","polka-dotted","0.15","circle","0.9",NA,NA,NA,NA,NA,NA,"223","323","332","True","6"
"151","10","2222","3","323211","English","square","0","solid","0.6","green","0","striped","1","polka-dotted","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"323","333","313","True","5"
"152","10","926","4","212121","English","cloud","0","red","0.6","blue","0.8","striped","0.8","solid","0.6","square","1",NA,NA,NA,NA,NA,NA,"112","112","321","False","6"
"153","10","156","5","323212","English","circle","0","polka-dotted","0.7","red","0","solid","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212","232","232","True","4"
"154","10","1379","6","113211","English","blue","0.8","green","0.8","circle","0.8","cloud","0.8","red","0.8","solid","0","square","0.8",NA,NA,NA,NA,"311","113","212","True","7"
"155","10","1873","7","123212","English","square","0","solid","0.6","polka-dotted","0.6","blue","0.95","red","0.6",NA,NA,NA,NA,NA,NA,NA,NA,"331","312","312","True","5"
"156","10","1454","8","123211","English","striped","0.75","solid","0.75","polka-dotted","0.75","square","0","green","1","blue","0.3",NA,NA,NA,NA,NA,NA,"323","331","311","True","6"
"157","10","2000","9","323232","English","striped","0","blue","0","circle","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221","221","221","False","3"
"158","10","1281","10","111111","English","solid","0.8","blue","0.8","circle","0.8","red","0.8","cloud","0.8","square","0.8","polka-dotted","0.8","green","0.8","striped","0.8","332","223","111","False","9"
"159","10","1660","11","121212","English","cloud","0.75","green","0.75","square","0.3","red","0.3","solid","0.6","striped","0.3",NA,NA,NA,NA,NA,NA,"113","322","322","False","6"
"160","10","2174","12","121111","English","solid","0.8","polka-dotted","0.8","cloud","0.8","red","0.8","green","0.8","circle","0.8","square","0.8","blue","0.8",NA,NA,"233","112","311","True","8"
"161","10","128","13","212111","English","solid","0.35","circle","0.7","square","0.7","blue","0.7","striped","0.7","cloud","0.7","red","0.35",NA,NA,NA,NA,"312","212","121","True","7"
"162","10","425","14","321112","English","green","0.75","polka-dotted","0.75","solid","0.75","square","0","striped","0.75","blue","0.35",NA,NA,NA,NA,NA,NA,"323","331","311","True","6"
"163","10","1984","15","323232","English","solid","0","green","0","circle","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"213","213","213","False","3"
"164","10","1205","16","112112","English","solid","0.7","circle","0.7","green","0.7","red","0.7","square","0.7","polka-dotted","0.7","blue","0.7",NA,NA,NA,NA,"311","212","233","True","7"
"165","10","165","17","323212","English","square","0","striped","1","polka-dotted","0.55","red","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"322","332","332","True","4"
"166","11","1983","3","323232","English","polka-dotted","0.5","blue","0.5","cloud","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"167","11","1941","4","111212","English","blue","1","red","0","polka-dotted","1","circle","0","striped","1","solid","1","cloud","1",NA,NA,NA,NA,"111","232","222","True","7"
"168","11","2324","5","123232","English","square","1","cloud","0","polka-dotted","0","green","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333","133","133","True","4"
"169","11","2238","6","323211","English","solid","0.7","circle","0","polka-dotted","0.7","striped","0.7","blue","0",NA,NA,NA,NA,NA,NA,NA,NA,"221","231","211","True","5"
"170","11","1666","7","121212","English","green","0","circle","0","polka-dotted","0.5","square","1","solid","1","red","1",NA,NA,NA,NA,NA,NA,"312","233","233","False","6"
"171","11","918","8","212121","English","polka-dotted","0.8","square","0","blue","0.8","striped","0","green","0","cloud","0.8",NA,NA,NA,NA,NA,NA,"323","323","131","False","6"
"172","11","1768","9","322132","English","red","0","solid","0.5","polka-dotted","0.8","square","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"312","312","332","True","4"
"173","11","1951","10","323232","English","polka-dotted","0.4","circle","0.4","green","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233","233","233","False","3"
"174","11","1788","11","322132","English","square","0.25","striped","0","green","0","cloud","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323","323","123","True","4"
"175","11","523","12","112132","English","circle","0.75","red","0","polka-dotted","0.75","cloud","0.75","square","0.75","solid","0",NA,NA,NA,NA,NA,NA,"212","112","332","True","6"
"176","11","2007","13","322122","English","solid","0.7","cloud","0","green","0","striped","0.3","circle","0.7",NA,NA,NA,NA,NA,NA,NA,NA,"123","113","223","True","5"
"177","11","420","14","321112","English","square","0.75","circle","0.75","striped","0","blue","0","green","0.75","cloud","0.75",NA,NA,NA,NA,NA,NA,"323","121","221","True","6"
"178","11","601","15","112121","English","striped","0.8","square","0.8","solid","0.8","blue","0.8","polka-dotted","0.8","cloud","0","green","0",NA,NA,NA,NA,"123","133","311","True","7"
"179","11","135","16","212111","English","cloud","0","polka-dotted","0","blue","0.85","square","0.85","solid","0.85","red","0.85","green","0.85",NA,NA,NA,NA,"133","132","311","True","7"
"180","11","1996","17","323232","English","square","0.3","red","0.3","polka-dotted","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"332","332","332","False","3"
"181","12","384","3","122132","English","green","1","cloud","0.65","circle","0.35","solid","0.35","polka-dotted","0.65",NA,NA,NA,NA,NA,NA,NA,NA,"233","133","113","True","5"
"182","12","1959","4","323232","English","polka-dotted","1","square","1","red","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"332","332","332","False","3"
"183","12","1976","5","323232","English","blue","1","polka-dotted","1","square","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"331","331","331","False","3"
"184","12","1866","6","123212","English","striped","0.3","circle","0.3","green","1","square","0.7","solid","0.7",NA,NA,NA,NA,NA,NA,NA,NA,"223","313","313","True","5"
"185","12","944","7","212121","English","striped","0.3","polka-dotted","0.65","blue","0.65","circle","0.3","red","0.3","square","0.65",NA,NA,NA,NA,NA,NA,"331","331","222","False","6"
"186","12","1904","8","111212","English","solid","0.25","green","0.7","cloud","0.25","blue","0.25","circle","0.25","square","0.25","polka-dotted","0.7",NA,NA,NA,NA,"111","233","333","True","7"
"187","12","1749","9","212112","English","square","0.65","circle","0.3","striped","0.65","polka-dotted","0.3","blue","0.3","green","0.65",NA,NA,NA,NA,NA,NA,"223","323","331","True","6"
"188","12","291","10","212222","English","solid","0.3","striped","0.7","circle","0.3","square","0.7","red","0.3","blue","0.7",NA,NA,NA,NA,NA,NA,"321","312","221","True","6"
"189","12","586","11","213212","English","striped","0.3","blue","0.7","red","0.3","polka-dotted","0.7","square","1",NA,NA,NA,NA,NA,NA,NA,NA,"332","331","321","True","5"
"190","12","1890","12","123212","English","green","0.65","solid","0.3","polka-dotted","0.65","blue","0.3","circle","1",NA,NA,NA,NA,NA,NA,NA,NA,"211","233","233","True","5"
"191","12","1672","13","121212","English","striped","0.25","cloud","0.65","polka-dotted","0.65","circle","0.25","red","0.65","green","0.25",NA,NA,NA,NA,NA,NA,"223","132","132","False","6"
"192","12","1305","14","122122","English","polka-dotted","0.7","cloud","0.25","square","0.7","blue","0.25","green","0.7","striped","0.25",NA,NA,NA,NA,NA,NA,"323","331","133","True","6"
"193","12","423","15","321112","English","striped","0.3","blue","0.7","polka-dotted","0.3","solid","0.3","green","0.3","circle","1",NA,NA,NA,NA,NA,NA,"213","231","221","True","6"
"194","12","1553","16","322121","English","square","0.7","blue","1","cloud","0.3","striped","0.3","polka-dotted","0.7",NA,NA,NA,NA,NA,NA,NA,NA,"331","331","121","True","5"
"195","12","1655","17","121212","English","polka-dotted","0.7","striped","0.25","blue","0.7","cloud","0.7","circle","0.25","red","0.25",NA,NA,NA,NA,NA,NA,"222","131","131","False","6"
"196","13","1973","3","323232","English","green","1","striped","1","circle","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"223","223","223","False","3"
"197","13","1692","4","121212","English","striped","1","polka-dotted","0","circle","1","blue","1","square","0","green","0",NA,NA,NA,NA,NA,NA,"221","333","333","False","6"
"198","13","433","5","321112","English","solid","1","cloud","1","green","1","red","0","striped","0","polka-dotted","0",NA,NA,NA,NA,NA,NA,"132","123","113","True","6"
"199","13","958","6","121112","English","blue","1","square","0","solid","1","red","0","polka-dotted","0","cloud","0","circle","1",NA,NA,NA,NA,"332","211","111","True","7"
"200","13","1967","7","323232","English","solid","1","cloud","1","green","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","113","113","False","3"
"201","13","1981","8","323232","English","blue","1","circle","1","solid","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"211","211","211","False","3"
"202","13","1063","9","113212","English","solid","1","green","0","striped","0","blue","1","cloud","1","polka-dotted","0",NA,NA,NA,NA,NA,NA,"111","123","133","True","6"
"203","13","894","10","112122","English","solid","0.95","red","0","square","0","polka-dotted","0","blue","1","cloud","0","circle","1",NA,NA,NA,NA,"131","332","211","True","7"
"204","13","452","11","211111","English","polka-dotted","1","blue","1","square","0","solid","0","red","0","green","0","circle","1","cloud","0",NA,NA,"313","112","231","True","8"
"205","13","1633","12","211112","English","red","1","striped","0","solid","1","blue","0","circle","0","square","1","green","0",NA,NA,NA,NA,"312","211","223","True","7"
