"","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous"
"51","3","1491","11","English","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","133","111","121","green","123211","False"
"52","3","1331","12","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","122","321","312","cloud","122122","False"
"53","3","883","13","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","233","131","323","circle","112122","False"
"54","3","2313","14","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","332","232","232","square","123232","False"
"55","3","273","15","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.9","squares","0.15","233","323","231","green","212222","True"
"56","3","1621","16","English","clouds","0.95","circles","0.15","squares","0.5","solid things","0.05","striped things","0.9","polka-dotted things","0.5","132","212","221","red","211112","True"
"57","3","419","17","English","solid things","0.05","striped things","1","polka-dotted things","0","blue things","0.5","red things","0.05","green things","0.9","123","132","112","cloud","321112","True"
"58","3","169","18","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.5","red things","0.95","green things","0.05","322","323","323","square","323212","True"
"59","3","182","19","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.5","red things","0.9","green things","0.1","312","313","313","square","323212","True"
"60","3","1135","20","English","solid things","0.95","striped things","0","polka-dotted things","0.45","clouds","0.5","circles","0.05","squares","0.9","312","222","222","red","321212","True"
"61","4","2003","6","English","blue things","0","red things","0.5","green things","0","solid things","0","striped things","1","polka-dotted things","0","322","321","312","square","322122","True"
"62","4","237","7","English","clouds","0.5","circles","0","squares","0","blue things","0","red things","0","green things","1","113","113","233","solid","212132","False"
"63","4","1583","8","English","blue things","0","red things","0","green things","1","solid things","1","striped things","0","polka-dotted things","0","313","313","321","square","322121","True"
"64","4","1137","9","English","clouds","0","circles","1","squares","0","blue things","0","red things","1","green things","0","212","311","311","solid","321212","True"
"65","4","655","10","English","blue things","0","red things","0.5","green things","0","solid things","0.5","striped things","1","polka-dotted things","0","322","333","121","square","212211","True"
"66","4","599","11","English","solid things","0.05","striped things","0.95","polka-dotted things","0","blue things","1","red things","0","green things","0","221","223","323","circle","213212","True"
"67","4","1452","12","English","blue things","0.5","red things","0","green things","0","solid things","0","striped things","1","polka-dotted things","0","321","131","111","square","123211","False"
"68","4","1485","13","English","clouds","0.5","circles","0","squares","0","blue things","0","red things","0","green things","0.5","133","111","112","polka-dotted","123211","False"
"69","4","517","14","English","clouds","0","circles","0","squares","1","solid things","0","striped things","0","polka-dotted things","0.95","331","333","132","blue","112132","False"
"70","4","185","15","English","clouds","0","circles","0","squares","0.5","solid things","0","striped things","0","polka-dotted things","1","331","311","311","blue","323212","True"
"71","4","268","16","English","blue things","0","red things","0","green things","0.5","solid things","0","striped things","1","polka-dotted things","0.5","123","111","223","cloud","212222","True"
"72","4","2079","17","English","solid things","1","striped things","0","polka-dotted things","0","clouds","0","circles","1","squares","0","212","122","332","red","321111","True"
"73","4","11","18","English","blue things","0","red things","1","green things","0.5","solid things","1","striped things","0.5","polka-dotted things","0","312","211","231","square","122112","False"
"74","4","1104","19","English","clouds","1","circles","0","squares","0.5","blue things","0.5","red things","0.75","green things","0","122","223","223","striped","321212","True"
"75","4","1015","20","English","solid things","1","striped things","0.5","polka-dotted things","0","clouds","1","circles","0","squares","0.5","112","232","213","red","212212","True"
"76","5","259","6","English","clouds","0.55","circles","0.6","squares","0.5","solid things","0.8","striped things","0.5","polka-dotted things","0.3","113","233","112","green","212222","True"
"77","5","534","7","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.5","red things","0.5","green things","0.5","121","221","331","cloud","112132","False"
"78","5","2342","8","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","332","232","232","square","123232","False"
"79","5","1635","9","English","clouds","0.8","circles","0","squares","0.5","solid things","0.05","striped things","0.5","polka-dotted things","0.85","132","212","313","red","211112","True"
"80","5","1536","10","English","solid things","0.05","striped things","1","polka-dotted things","0.5","blue things","0","red things","0.5","green things","0.65","223","213","211","circle","322112","True"
"81","5","64","11","English","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","311","221","123","solid","122111","False"
"82","5","664","12","English","blue things","0.65","red things","0.5","green things","0.25","solid things","0.85","striped things","0.25","polka-dotted things","0.5","211","223","112","circle","212211","True"
"83","5","552","13","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.25","red things","0.5","green things","0.85","133","131","331","cloud","213212","True"
"84","5","710","14","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.5","red things","1","green things","0.15","312","313","122","square","212122","True"
"85","5","1135","15","English","solid things","0.9","striped things","0.35","polka-dotted things","0.35","clouds","0.5","circles","0.45","squares","0.6","312","222","222","red","321212","True"
"86","5","487","16","English","solid things","0.5","striped things","0.65","polka-dotted things","0.35","clouds","0.5","circles","0.4","squares","0.75","322","232","113","red","211111","True"
"87","5","729","17","English","blue things","0.65","red things","0.5","green things","0.35","solid things","0.5","striped things","0.5","polka-dotted things","0.5","231","233","311","circle","212122","True"
"88","5","629","18","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","111","211","323","cloud","112121","False"
"89","5","787","19","English","blue things","0.15","red things","0.8","green things","0.5","clouds","0.5","circles","0.85","squares","0.15","212","311","321","solid","211212","True"
"90","5","1938","20","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","232","121","321","circle","111212","False"
"91","6","455","6","English","clouds","0","circles","1","squares","0","blue things","0","red things","1","green things","0","222","323","131","striped","211111","True"
"92","6","1333","7","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.5","squares","0.5","311","332","112","blue","122122","False"
"93","6","1685","8","English","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","331","123","123","polka-dotted","121212","False"
"94","6","670","9","English","clouds","0","circles","1","squares","0.5","blue things","0","red things","0.5","green things","1","213","111","232","solid","212211","True"
"95","6","1891","10","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","313","211","211","square","123212","False"
"96","6","1613","11","English","blue things","0.5","red things","0","green things","1","solid things","0.5","striped things","1","polka-dotted things","0.05","223","232","131","circle","211112","True"
"97","6","131","12","English","clouds","1","circles","0.5","squares","0","blue things","0.5","red things","0.5","green things","0.5","131","331","213","polka-dotted","212111","True"
"98","6","770","13","English","solid things","0","striped things","1","polka-dotted things","0.5","clouds","1","circles","0","squares","0.5","123","213","211","green","211212","True"
"99","6","1529","14","English","clouds","0.5","circles","0.05","squares","1","solid things","0","striped things","0.5","polka-dotted things","1","332","312","212","red","322112","True"
"100","6","325","15","English","clouds","0.5","circles","0.5","squares","0.5","solid things","1","striped things","0","polka-dotted things","0","311","331","323","blue","213211","True"
"101","6","679","16","English","clouds","0.5","circles","1","squares","0","solid things","0","striped things","0.5","polka-dotted things","1","232","312","221","red","212211","True"
"102","6","1496","17","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","123","222","221","cloud","123211","False"
"103","6","2096","18","English","solid things","0","striped things","0","polka-dotted things","1","clouds","0","circles","0","squares","1","333","123","213","green","321111","True"
"104","6","1668","19","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.5","squares","0.5","123","211","211","green","121212","False"
"105","6","658","20","English","clouds","1","circles","0","squares","0.5","blue things","0","red things","1","green things","0.5","132","233","121","polka-dotted","212211","True"
"106","7","223","6","English","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","212","212","113","red","212132","False"
"107","7","124","7","English","clouds","0.5","circles","1","squares","0.5","solid things","0.5","striped things","0","polka-dotted things","0.95","131","121","312","blue","212111","True"
"108","7","2253","8","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","233","233","333","circle","213232","False"
"109","7","1037","9","English","clouds","0.5","circles","1","squares","0.05","blue things","0.05","red things","1","green things","0.5","212","311","221","solid","212212","True"
"110","7","762","10","English","blue things","0.5","red things","0.95","green things","0","solid things","0.95","striped things","0","polka-dotted things","0.5","112","123","323","cloud","211212","True"
"111","7","149","11","English","clouds","0.5","circles","0.75","squares","0.5","blue things","0.5","red things","1","green things","0","212","213","331","solid","212111","True"
"112","7","555","12","English","solid things","0.5","striped things","0.95","polka-dotted things","0.05","blue things","0.5","red things","0.5","green things","0.5","121","131","331","cloud","213212","True"
"113","7","2116","13","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.5","squares","0.5","121","212","313","blue","111112","False"
"114","7","2074","14","English","clouds","1","circles","0.7","squares","0.05","blue things","0.25","red things","1","green things","0.3","112","311","213","solid","321111","True"
"115","7","805","15","English","blue things","0.25","red things","0.8","green things","0.5","solid things","0.5","striped things","0.95","polka-dotted things","0.2","222","323","131","circle","112111","False"
"116","7","1540","16","English","solid things","0","striped things","1","polka-dotted things","0.5","clouds","0","circles","0.5","squares","1","323","313","113","green","322112","True"
"117","7","452","17","English","blue things","0.5","red things","0.05","green things","0.95","clouds","0.05","circles","0.5","squares","0.95","313","112","231","solid","211111","True"
"118","7","1857","18","English","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","311","221","221","solid","123212","False"
"119","7","2098","19","English","clouds","0.05","circles","0.95","squares","0.05","blue things","0.95","red things","0.05","green things","0.05","211","312","113","solid","321111","True"
"120","7","658","20","English","clouds","0.95","circles","0.75","squares","0.5","blue things","0.5","red things","1","green things","0","132","233","121","polka-dotted","212211","True"
"121","8","2028","6","english","solid things","0.7","striped things","0.5","polka-dotted things","0.2","clouds","0.75","circles","0.35","squares","0.55","113","133","213","green","322122","True"
"122","8","1903","7","english","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.2","polka-dotted things","0.75","231","323","322","blue","111212","False"
"123","8","735","8","english","blue things","0.15","red things","0.5","green things","0.5","solid things","0.25","striped things","0.5","polka-dotted things","0.75","132","112","331","cloud","212122","True"
"124","8","900","9","english","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","112","311","232","cloud","112122","False"
"125","8","2090","10","english","solid things","0.2","striped things","0.7","polka-dotted things","0.2","clouds","0.75","circles","0.1","squares","0.15","121","211","331","blue","321111","True"
"126","8","1347","11","english","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","313","322","223","solid","122122","False"
"127","8","1522","12","english","clouds","0.2","circles","0.7","squares","0.5","solid things","0.2","striped things","0.75","polka-dotted things","0.5","222","212","112","red","322112","True"
"128","8","2173","13","english","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","212","323","121","solid","121111","False"
"129","8","752","14","english","clouds","0.7","circles","0.5","squares","0.15","blue things","0.5","red things","0.7","green things","0.2","122","323","333","striped","211212","True"
"130","8","120","15","english","blue things","0.2","red things","0.75","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","332","331","113","square","212111","True"
"131","8","994","16","english","blue things","0.5","red things","0.5","green things","0.5","clouds","0.5","circles","0.5","squares","0.5","222","313","311","striped","121112","False"
"132","8","1530","17","english","clouds","0.7","circles","0.5","squares","0.3","solid things","0.1","striped things","0.8","polka-dotted things","0.5","123","113","313","green","322112","True"
"133","8","109","18","english","solid things","0.5","striped things","0.75","polka-dotted things","0.1","blue things","0.2","red things","0.7","green things","0.5","322","321","133","square","212111","True"
"134","8","430","19","english","blue things","0.95","red things","0.5","green things","0.05","solid things","0.25","striped things","0.95","polka-dotted things","0.3","321","313","333","square","321112","True"
"135","8","2227","20","english","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.05","circles","1","squares","0.1","231","131","331","blue","323211","True"
"136","9","592","6","english","solid things","1","striped things","0","polka-dotted things","0","clouds","0","circles","1","squares","0","211","231","233","blue","213212","True"
"137","9","484","7","english","blue things","0","red things","0","green things","1","solid things","1","striped things","0","polka-dotted things","0","213","222","131","circle","211111","True"
"138","9","1844","8","english","solid things","1","striped things","0","polka-dotted things","0","clouds","1","circles","0","squares","0","112","113","233","red","122121","False"
"139","9","112","9","english","clouds","0.95","circles","0","squares","0","solid things","1","striped things","0","polka-dotted things","0","113","313","221","green","212111","True"
"140","9","339","10","english","solid things","1","striped things","0","polka-dotted things","0","clouds","0","circles","0","squares","1","312","332","323","red","213211","True"
"141","9","1621","11","english","solid things","0","striped things","0","polka-dotted things","1","clouds","1","circles","0","squares","0","132","212","221","red","211112","True"
"142","9","1110","12","english","blue things","0","red things","1","green things","0","clouds","0","circles","1","squares","0","232","333","333","polka-dotted","321212","True"
"143","9","1313","13","english","blue things","0","red things","1","green things","0","solid things","0","striped things","0","polka-dotted things","1","132","233","222","cloud","122122","False"
"144","9","1740","14","english","blue things","0","red things","0","green things","1","clouds","1","circles","0","squares","0","113","112","332","solid","212112","True"
"145","9","900","15","english","blue things","0","red things","1","green things","0","solid things","1","striped things","0","polka-dotted things","0","112","311","232","cloud","112122","False"
"146","9","1448","16","english","solid things","0","striped things","1","polka-dotted things","0","blue things","0","red things","0","green things","1","123","113","131","cloud","322111","True"
"147","9","2106","17","english","solid things","0","striped things","0","polka-dotted things","1","blue things","0","red things","0","green things","1","233","311","121","circle","111112","False"
"148","9","483","18","english","solid things","1","striped things","0","polka-dotted things","0","blue things","0","red things","1","green things","0","112","131","223","cloud","211111","True"
"149","9","1763","19","english","clouds","1","circles","0","squares","0","solid things","0","striped things","1","polka-dotted things","0","121","121","221","blue","322132","True"
"150","9","2102","20","english","blue things","0","red things","0","green things","1","solid things","0","striped things","1","polka-dotted things","0","223","331","132","circle","111112","False"
"151","10","1524","6","english","solid things","0.3","striped things","0.25","polka-dotted things","0.8","clouds","0.15","circles","0.1","squares","0.65","333","313","113","green","322112","True"
"152","10","2182","7","english","clouds","0.15","circles","0.8","squares","0.2","solid things","0.2","striped things","0.1","polka-dotted things","0.1","211","333","123","blue","121111","False"
"153","10","1588","8","english","blue things","0.2","red things","0.7","green things","0.25","solid things","0.2","striped things","0.8","polka-dotted things","0.1","122","122","111","cloud","322121","True"
"154","10","1618","9","english","solid things","0.15","striped things","0.8","polka-dotted things","0.15","blue things","0.8","red things","0.15","green things","0.2","221","212","132","circle","211112","True"
"155","10","1127","10","english","clouds","0.15","circles","0.7","squares","0.2","blue things","0.15","red things","0.15","green things","0.7","223","321","321","striped","321212","True"
"156","10","816","11","english","solid things","0.7","striped things","0.05","polka-dotted things","0.2","blue things","0.25","red things","0.2","green things","0.85","213","123","332","circle","112111","False"
"157","10","1186","12","english","solid things","0.2","striped things","0.1","polka-dotted things","0.8","blue things","0.75","red things","0.1","green things","0.1","331","311","231","square","212232","True"
"158","10","1421","13","english","solid things","0.2","striped things","0.25","polka-dotted things","0.75","clouds","0.65","circles","0.05","squares","0","133","333","223","green","322111","True"
"159","10","35","14","english","solid things","0.8","striped things","0.15","polka-dotted things","0.15","clouds","0.75","circles","0.15","squares","0.1","111","212","232","blue","122112","False"
"160","10","1728","15","english","solid things","0.8","striped things","0.15","polka-dotted things","0.15","blue things","0.65","red things","0.2","green things","0.25","311","312","222","square","212112","True"
"161","10","2212","16","english","blue things","0.15","red things","0.15","green things","0.8","solid things","0.2","striped things","0.8","polka-dotted things","0.15","223","213","233","circle","323211","True"
"162","10","289","17","english","solid things","0.25","striped things","0.25","polka-dotted things","0.85","clouds","0.1","circles","0.7","squares","0.15","232","312","233","red","212222","True"
"163","10","343","18","english","blue things","0.8","red things","0.2","green things","0.2","solid things","0.2","striped things","0.7","polka-dotted things","0.1","321","323","122","square","213211","True"
"164","10","241","19","english","blue things","0.2","red things","0.7","green things","0.2","clouds","0.75","circles","0.2","squares","0.1","132","132","123","polka-dotted","212132","False"
"165","10","1684","20","english","solid things","0.25","striped things","0.9","polka-dotted things","0.15","clouds","0.15","circles","0.7","squares","0.15","222","313","313","red","121212","False"
"166","11","1792","6","English","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.25","polka-dotted things","0.25","311","311","331","blue","322132","True"
"167","11","769","7","English","clouds","0.5","circles","0.2","squares","0.5","solid things","0.5","striped things","0.2","polka-dotted things","0.5","111","221","223","blue","211212","True"
"168","11","34","8","English","blue things","0.5","red things","0.5","green things","0.15","clouds","0.25","circles","0.5","squares","0.75","332","112","113","polka-dotted","122112","False"
"169","11","2131","9","English","solid things","0.5","striped things","0.75","polka-dotted things","0.2","clouds","0.75","circles","0.5","squares","0.1","121","313","332","blue","111112","False"
"170","11","183","10","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.75","striped things","0.5","polka-dotted things","0.25","211","231","231","circle","323212","True"
"171","11","1323","11","English","solid things","0.5","striped things","0.25","polka-dotted things","0.7","clouds","0.2","circles","0.2","squares","0.45","332","323","133","red","122122","False"
"172","11","1434","12","English","blue things","0.25","red things","0.25","green things","0.9","solid things","0.5","striped things","0.5","polka-dotted things","0.2","123","122","131","cloud","322111","True"
"173","11","85","13","English","blue things","0.25","red things","0.55","green things","0.75","clouds","0.15","circles","0.75","squares","0.3","233","323","121","polka-dotted","122111","False"
"174","11","1583","14","English","solid things","0.75","striped things","0.2","polka-dotted things","0.5","blue things","0.25","red things","0.5","green things","0.75","313","313","321","square","322121","True"
"175","11","1134","15","English","solid things","0.5","striped things","0.8","polka-dotted things","0.2","blue things","0.5","red things","0.1","green things","0.75","223","232","232","circle","321212","True"
"176","11","781","16","English","clouds","0.7","circles","0.5","squares","0.2","blue things","0.85","red things","0.5","green things","0.15","131","333","313","polka-dotted","211212","True"
"177","11","458","17","English","blue things","0.2","red things","0.25","green things","0.85","clouds","0.75","circles","0.3","squares","0.3","113","212","321","solid","211111","True"
"178","11","1450","18","English","solid things","0.5","striped things","0.5","polka-dotted things","0.8","blue things","0.1","red things","0.2","green things","0.8","333","332","311","square","322111","True"
"179","11","2067","19","English","solid things","0.75","striped things","0.25","polka-dotted things","0.25","clouds","0.2","circles","0.2","squares","0.8","312","132","222","red","321111","True"
"180","11","803","20","English","blue things","0.5","red things","0.5","green things","0.5","clouds","0.5","circles","0.5","squares","0.5","232","213","121","polka-dotted","112111","False"
"181","12","317","6","english","clouds","0","circles","0","squares","0.8","solid things","0.9","striped things","0","polka-dotted things","0.15","313","333","322","green","213211","True"
"182","12","2212","7","english","solid things","0.5","striped things","0.85","polka-dotted things","0.05","blue things","0.5","red things","0.5","green things","0.5","223","213","233","circle","323211","True"
"183","12","506","8","english","clouds","0.5","circles","0.5","squares","0.6","solid things","0.85","striped things","0.45","polka-dotted things","0.5","312","311","323","red","112132","False"
"184","12","649","9","english","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","311","321","232","solid","112121","False"
"185","12","1145","10","english","solid things","0.05","striped things","0.5","polka-dotted things","0.95","blue things","0","red things","0.6","green things","0.5","132","111","111","cloud","321212","True"
"186","12","643","11","english","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","233","231","322","green","112121","False"
"187","12","151","12","english","solid things","1","striped things","0.5","polka-dotted things","0","blue things","0.5","red things","0.5","green things","0.9","213","233","233","circle","323212","True"
"188","12","280","13","english","solid things","0.5","striped things","0","polka-dotted things","1","blue things","1","red things","0.5","green things","0","131","123","331","cloud","212222","True"
"189","12","1729","14","english","clouds","0.5","circles","0.5","squares","0.5","blue things","1","red things","0.5","green things","0","331","333","213","polka-dotted","212112","True"
"190","12","477","15","english","clouds","0.1","circles","0.5","squares","0.95","solid things","0.5","striped things","0.05","polka-dotted things","1","333","123","211","green","211111","True"
"191","12","331","16","english","clouds","0.5","circles","0.5","squares","0.5","blue things","1","red things","0.1","green things","0","211","213","222","solid","213211","True"
