"","X.1","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"14",14,14,0,652,19,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,133,311,"cloud",212211,"True",1,3,2,10,25,3,NA,NA,NA,0.5,0.5,NA,0.428574285742857,0.285712857128571,0.285712857128571,0.5,0.5,NA,1,0,NA,0.66667,0,0.33333,0.509082454587727,0.490917545412273,NA,0.598355983559836,0.401644016440164,NA,0.420474204742047,0.254222542225422,0.32530325303253,212211,0
"15",15,15,0,1148,20,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.75,"green things",0.3,232,333,333,"polka-dotted",321212,"True",2,1,3,17,27,27,NA,NA,NA,0.5,0.5,NA,0.714283605444185,0.285716394555815,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.62320188399058,0.37679811600942,NA,0.62320188399058,0.37679811600942,NA,321212,0
"16",16,16,1,552,6,"english","solid things",0.4,"striped things",0.6,"polka-dotted things",0.65,"blue things",0,"red things",0.5,"green things",1,133,131,331,"cloud",213212,"True",1,2,3,25,7,9,NA,NA,NA,NA,NA,NA,1,0,NA,0.5,0.5,NA,NA,NA,NA,1,0,NA,0.810683106831068,0.189316893168932,NA,NA,NA,NA,0.921175394123029,0.0788246058769706,NA,213212,0
"17",17,17,1,1859,7,"english","solid things",0,"striped things",0.6,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,133,313,313,"cloud",123212,"False",1,2,3,25,21,21,NA,NA,NA,NA,NA,NA,1,0,NA,0.5,0.5,NA,NA,NA,NA,0.5,0.5,NA,0.886225568872156,0.113774431127844,NA,NA,NA,NA,0.886225568872156,0.113774431127844,NA,123212,0
"18",18,18,1,1690,8,"english","clouds",1,"circles",1,"squares",0.4,"blue things",1,"red things",0.5,"green things",0.05,211,123,123,"solid",121212,"False",2,1,3,2,22,22,NA,NA,NA,0.5,0.5,NA,0.952378140592247,0.0476218594077529,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.886225568872156,0.113774431127844,NA,0.886225568872156,0.113774431127844,NA,0.886225568872156,0.113774431127844,NA,121212,0
"19",19,19,1,1417,9,"english","clouds",0,"circles",0,"squares",1,"solid things",1,"striped things",0.5,"polka-dotted things",0.5,313,333,123,"green",322111,"True",3,1,2,21,27,22,NA,NA,NA,1,0,NA,0.5,0.25,0.25,NA,NA,NA,1,0,NA,1,0,0,NA,NA,NA,0.890905545472273,0.109094454527727,NA,0.884618846188462,0.0576905769057691,0.0576905769057691,322111,0
"20",20,20,1,1733,10,"english","solid things",0,"striped things",1,"polka-dotted things",0.5,"clouds",0,"circles",1,"squares",0.5,223,213,112,"green",212112,"True",3,2,1,23,20,10,NA,NA,NA,1,0,NA,1,0,NA,0.5,0.5,NA,0.5,0.5,NA,1,0,NA,0.810683106831068,0.189316893168932,NA,0.810683106831068,0.189316893168932,NA,0.921175394123029,0.0788246058769706,NA,212112,0
"21",21,21,1,733,11,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",1,"blue things",0.75,"red things",0.5,"green things",0.5,131,132,221,"cloud",212122,"True",1,2,3,7,16,5,NA,NA,NA,0.666666666666667,0.333333333333333,NA,0.6000028000224,0.3999971999776,NA,0.5,0.5,NA,0.5,0.5,NA,1,0,NA,0.810683106831068,0.189316893168932,NA,0.810683106831068,0.189316893168932,NA,0.914635426822866,0.0853645731771341,NA,212122,0
"22",22,22,1,341,12,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",1,"circles",0.5,"squares",0,132,332,222,"polka-dotted",213211,"True",2,3,1,16,18,14,NA,NA,NA,NA,NA,NA,0.66667,0,0.33333,0.5,0.5,NA,NA,NA,NA,0.66667,0,0.33333,0.810683106831068,0.189316893168932,NA,NA,NA,NA,0.84062,0.05482,0.10456,213211,0
"23",23,23,1,1919,13,"english","clouds",1,"circles",0.2,"squares",0.5,"solid things",1,"striped things",0.55,"polka-dotted things",0,113,231,232,"green",111212,"False",3,1,2,19,8,17,NA,NA,NA,1,0,NA,0.833330972247801,0.166669027752199,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.7957,0.10215,0.10215,0.886225568872156,0.113774431127844,NA,0.886225568872156,0.113774431127844,NA,111212,0
"24",24,24,1,2300,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,132,132,131,"red",213232,"False",3,2,1,16,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.810683106831068,0.189316893168932,NA,NA,NA,NA,NA,NA,NA,213232,0
"25",25,25,1,1196,15,"english","blue things",0.5,"red things",0,"green things",0.7,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,222,323,"circle",212232,"True",1,3,2,23,14,24,NA,NA,NA,NA,NA,NA,1,0,NA,0.5,0.5,NA,NA,NA,NA,1,0,NA,0.810683106831068,0.189316893168932,NA,NA,NA,NA,0.914635426822866,0.0853645731771341,NA,213222,0
"26",26,26,1,267,16,"english","solid things",0.5,"striped things",0.2,"polka-dotted things",0.8,"clouds",0,"circles",0.5,"squares",0.35,233,123,232,"green",212222,"True",3,2,1,26,22,17,NA,NA,NA,0.80000300003,0.19999699997,NA,1,0,NA,0.5,0.5,NA,1,0,NA,1,0,NA,0.810683106831068,0.189316893168932,NA,0.914635426822866,0.0853645731771341,NA,0.914635426822866,0.0853645731771341,NA,212222,0
"27",27,27,1,178,17,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0,"red things",0.5,"green things",1,323,321,321,"striped",323212,"True",2,1,3,24,6,6,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0.938770306148469,0.0612296938515307,NA,323212,0
"28",28,28,1,1095,18,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0,"red things",0.5,"green things",1,123,321,221,"cloud",113212,"False",1,2,3,22,6,5,NA,NA,NA,NA,NA,NA,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,NA,NA,NA,0.5,0.5,NA,0.7957,0.10215,0.10215,NA,NA,NA,0.886225568872156,0.113774431127844,NA,113212,0
"29",29,29,1,2090,19,"english","solid things",0,"striped things",1,"polka-dotted things",0,"clouds",1,"circles",0,"squares",0,121,211,331,"blue",321111,"True",3,2,1,4,2,9,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,0.884618846188462,0.0576905769057691,0.0576905769057691,0.884618846188462,0.0576905769057691,0.0576905769057691,321111,0
"30",30,30,1,676,20,"english","clouds",0,"circles",0.5,"squares",0.5,"blue things",0,"red things",0,"green things",1,333,132,321,"polka-dotted",212211,"True",2,1,3,27,16,6,NA,NA,NA,1,0,NA,1,0,0,0.5,0.5,NA,1,0,NA,0.66667,0,0.33333,0.810683106831068,0.189316893168932,NA,0.914635426822866,0.0853645731771341,NA,0.84062,0.05482,0.10456,212211,0
"31",31,31,2,1527,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,212,222,"circle",322112,"True",1,2,3,20,11,14,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.867068670686707,0.132931329313293,NA,0.923335383323083,0.0766646166769166,NA,322112,0
"32",32,32,2,392,7,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,312,322,"cloud",122132,"False",1,3,2,10,12,15,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA,NA,0.5,0.5,NA,0.525162374188129,0.474837625811871,NA,NA,NA,NA,0.523145231452315,0.476854768547685,NA,123221,0
"33",33,33,2,1156,8,"English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,232,222,231,"red",212232,"True",3,2,1,17,14,8,NA,NA,NA,NA,NA,NA,0.947368421052632,0.0526315789473684,NA,0.5,0.5,NA,NA,NA,NA,1,0,NA,0.511947440262799,0.488052559737201,NA,NA,NA,NA,0.918280408597957,0.081719591402043,NA,213222,0
"34",34,34,2,1981,9,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,211,211,211,"circle",323232,"False",1,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323232,0
"35",35,35,2,646,10,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,221,332,"green",112121,"False",3,2,1,23,5,18,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.35608,0.32196,0.32196,0.523145231452315,0.476854768547685,NA,0.523145231452315,0.476854768547685,NA,112121,0
"36",36,36,2,1284,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,111,332,"green",111111,"False",3,1,2,23,1,18,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.35608,0.32196,0.32196,0.35608,0.32196,0.32196,0.35608,0.32196,0.32196,111111,0
"37",37,37,2,307,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.95,"circles",0.5,"squares",0.05,131,331,211,"polka-dotted",213211,"True",2,3,1,7,9,2,NA,NA,NA,NA,NA,NA,0.633336333363334,0.033330333303333,0.333333333333333,0.5,0.5,NA,NA,NA,NA,0.66667,0,0.33333,0.511947440262799,0.488052559737201,NA,NA,NA,NA,0.62529,0.05191,0.3228,213211,0
"38",38,38,2,2250,13,"English","clouds",0.95,"circles",0,"squares",0.05,"blue things",0.5,"red things",0.5,"green things",0.5,131,231,331,"polka-dotted",323211,"True",2,1,3,7,8,9,NA,NA,NA,NA,NA,NA,0.95,0,0.05,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0.8576,0.0712,0.0712,323211,0
"39",39,39,2,437,14,"English","solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.5,"red things",0.05,"green things",0.95,213,232,222,"circle",321112,"True",1,2,3,20,17,14,NA,NA,NA,0.950004500045,0.0499954999549996,NA,0.90476,0.04762,0.04762,NA,NA,NA,1,0,NA,1,0,0,NA,NA,NA,0.923335383323083,0.0766646166769166,NA,0.8576,0.0712,0.0712,321211,0
"40",40,40,2,1114,15,"English","solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,"clouds",0.9,"circles",0.5,"squares",0,122,312,312,"red",321212,"True",3,2,1,13,12,12,NA,NA,NA,0.947372437687928,0.0526275623120717,NA,1,0,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.923335383323083,0.0766646166769166,NA,0.923335383323083,0.0766646166769166,NA,321212,0
"41",41,41,2,1525,16,"English","blue things",0.95,"red things",0.5,"green things",0.05,"clouds",0.95,"circles",0.5,"squares",0.1,111,113,313,"solid",322112,"True",2,3,1,1,19,21,NA,NA,NA,0.904756281184494,0.0952437188155059,NA,0.950004500045,0.0499954999549996,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.867068670686707,0.132931329313293,NA,0.923335383323083,0.0766646166769166,NA,322112,0
"42",42,42,2,1427,17,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0.5,"blue things",0,"red things",0,"green things",0.95,123,121,112,"cloud",322111,"True",1,2,3,22,4,10,NA,NA,NA,0.950004500045,0.0499954999549996,NA,1,0,0,NA,NA,NA,1,0,NA,1,0,0,NA,NA,NA,0.867068670686707,0.132931329313293,NA,0.8576,0.0712,0.0712,322111,0
"43",43,43,2,185,18,"English","solid things",0.05,"striped things",0.5,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,331,311,311,"blue",323212,"True",3,2,1,9,3,3,NA,NA,NA,NA,NA,NA,0.947372437687928,0.0526275623120717,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0.923335383323083,0.0766646166769166,NA,323212,0
"44",44,44,2,1630,19,"English","clouds",0,"circles",0.95,"squares",0,"blue things",0.95,"red things",0.5,"green things",0.05,221,123,313,"striped",211112,"True",2,1,3,5,22,21,NA,NA,NA,0.950004500045,0.0499954999549996,NA,1,0,0,0.5,0.5,NA,1,0,NA,0.66667,0,0.33333,0.511947440262799,0.488052559737201,NA,0.874855625721871,0.125144374278129,NA,0.62529,0.05191,0.3228,211211,0
"45",45,45,2,1249,20,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,323,122,111,"green",112112,"False",3,2,1,24,13,1,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.35608,0.32196,0.32196,0.523145231452315,0.476854768547685,NA,0.525162374188129,0.474837625811871,NA,112112,0
"46",46,46,3,1501,6,"English","clouds",0.8,"circles",0.55,"squares",0.5,"blue things",0.8,"red things",0.1,"green things",0.5,121,321,322,"striped",322112,"True",2,1,3,4,6,15,NA,NA,NA,0.888887160501509,0.111112839498491,NA,0.615383520705849,0.384616479294151,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.854440727796361,0.145559272203639,NA,0.91481542592287,0.0851845740771296,NA,322112,0
"47",47,47,3,1592,7,"English","blue things",0.55,"red things",0.95,"green things",0.1,"clouds",0.05,"circles",0.95,"squares",0.5,232,232,133,"polka-dotted",322121,"True",2,3,1,17,17,25,NA,NA,NA,0.950004500045,0.0499954999549996,NA,0.904761904761905,0.0952380952380952,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.854440727796361,0.145559272203639,NA,0.854440727796361,0.145559272203639,NA,322121,0
"48",48,48,3,79,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,323,121,112,"square",122111,"False",1,3,2,24,4,10,NA,NA,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,122111,0
"49",49,49,3,1750,9,"English","blue things",0,"red things",0.9,"green things",0.45,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,232,231,321,"circle",212112,"True",1,3,2,17,8,6,NA,NA,NA,0.5,0.5,NA,1,0,NA,0.5,0.5,NA,0.5,0.5,NA,1,0,NA,0.5,0.5,NA,0.5,0.5,NA,0.862720686396568,0.137279313603432,NA,212112,0
"50",50,50,3,1572,10,"English","blue things",0.95,"red things",0.05,"green things",0.5,"solid things",0.95,"striped things",0,"polka-dotted things",0.5,311,311,322,"square",322121,"True",1,3,2,3,3,15,NA,NA,NA,1,0,NA,0.950004500045,0.0499954999549996,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.854440727796361,0.145559272203639,NA,0.854440727796361,0.145559272203639,NA,322121,0
"51",51,51,3,1491,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,133,111,121,"green",123211,"False",3,1,2,25,1,4,NA,NA,NA,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,123211,0
"52",52,52,3,1331,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,122,321,312,"cloud",122122,"False",1,3,2,13,6,12,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,122122,0
"53",53,53,3,883,13,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,233,131,323,"circle",112122,"False",1,3,2,26,7,24,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,112122,0
"54",54,54,3,2313,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,332,232,232,"square",123232,"False",1,3,2,18,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,123232,0
"55",55,55,3,273,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.15,233,323,231,"green",212222,"True",3,2,1,26,24,8,NA,NA,NA,0.5,0.5,NA,0.857149183667444,0.142850816332556,NA,0.5,0.5,NA,1,0,NA,1,0,NA,0.5,0.5,NA,0.909340453297733,0.0906595467022665,NA,0.909340453297733,0.0906595467022665,NA,212222,0
"56",56,56,3,1621,16,"English","clouds",0.95,"circles",0.15,"squares",0.5,"solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,132,212,221,"red",211112,"True",3,1,2,16,11,5,NA,NA,NA,0.863636363636364,0.136363636363636,NA,0.34483,0.03448,0.62069,0.5,0.5,NA,1,0,NA,0.66667,0,0.33333,0.5,0.5,NA,0.862720686396568,0.137279313603432,NA,0.60988,0.05679,0.33333,211211,0
"57",57,57,3,419,17,"English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0.5,"red things",0.05,"green things",0.9,123,132,112,"cloud",321112,"True",1,2,3,22,16,10,NA,NA,NA,0.947372437687928,0.0526275623120717,NA,0.95238,0,0.04762,NA,NA,NA,1,0,NA,1,0,0,NA,NA,NA,0.91481542592287,0.0851845740771296,NA,0.843018430184302,0.0784907849078491,0.0784907849078491,321211,0
"58",58,58,3,169,18,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.95,"green things",0.05,322,323,323,"square",323212,"True",1,2,3,15,24,24,NA,NA,NA,NA,NA,NA,0.950004500045,0.0499954999549996,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0.91481542592287,0.0851845740771296,NA,323212,0
"59",59,59,3,182,19,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.9,"green things",0.1,312,313,313,"square",323212,"True",1,2,3,12,21,21,NA,NA,NA,NA,NA,NA,0.8999955000225,0.1000044999775,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0.91481542592287,0.0851845740771296,NA,323212,0
"60",60,60,3,1135,20,"English","solid things",0.95,"striped things",0,"polka-dotted things",0.45,"clouds",0.5,"circles",0.05,"squares",0.9,312,222,222,"red",321212,"True",3,2,1,12,14,14,NA,NA,NA,1,0,NA,0.947372437687928,0.0526275623120717,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.91481542592287,0.0851845740771296,NA,0.91481542592287,0.0851845740771296,NA,321212,0
"61",61,61,4,2003,6,"English","blue things",0,"red things",0.5,"green things",0,"solid things",0,"striped things",1,"polka-dotted things",0,322,321,312,"square",322122,"True",1,3,2,15,6,12,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,1,0,NA,1,0,NA,322122,0
"62",62,62,4,237,7,"English","clouds",0.5,"circles",0,"squares",0,"blue things",0,"red things",0,"green things",1,113,113,233,"solid",212132,"False",2,1,3,19,19,26,NA,NA,NA,NA,NA,NA,1,0,NA,0.5,0.5,NA,NA,NA,NA,0.5,0.5,NA,1,0,NA,NA,NA,NA,1,0,NA,213221,0
