"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode"
"15",15,0,1148,20,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.75,"green things",0.3,232,333,333,"polka-dotted",321212,"True",2,1,3,17,27,27,0.33333,0.33333,0.33333,NA,NA,NA,0.32258,0.48387,0.19355,0.33333,0.42231,0.24435,0.33333,0.33333,0.33333,0.33333,0.42231,0.24435,0.33333,0.41869,0.24798,0.33333,0.33333,0.33333,0.33333,0.41869,0.24798,321212
"16",16,1,552,6,"english","solid things",0.4,"striped things",0.6,"polka-dotted things",0.65,"blue things",0,"red things",0.5,"green things",1,133,131,331,"cloud",213212,"True",1,2,3,25,7,9,NA,NA,NA,0.24242,0.36364,0.39394,0,0.33333,0.66667,0.53738,0.33333,0.12929,0.33333,0.33333,0.33333,0.05142,0.33333,0.61525,0.539,0.33333,0.12767,0.33333,0.33333,0.33333,0.05223,0.33333,0.61443,213212
"17",17,1,1859,7,"english","solid things",0,"striped things",0.6,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,133,313,313,"cloud",123212,"False",1,2,3,25,21,21,NA,NA,NA,0,0.3871,0.6129,0.33333,0.33333,0.33333,0.59438,0.33333,0.07229,0.07229,0.33333,0.59438,0.33333,0.33333,0.33333,0.59192,0.33333,0.07475,0.07475,0.33333,0.59192,0.33333,0.33333,0.33333,123212
"18",18,1,1690,8,"english","clouds",1,"circles",1,"squares",0.4,"blue things",1,"red things",0.5,"green things",0.05,211,123,123,"solid",121212,"False",2,1,3,2,22,22,0.41667,0.41667,0.16667,NA,NA,NA,0.64516,0.32258,0.03226,0.0712,0.59547,0.33333,0.59547,0.0712,0.33333,0.59547,0.33333,0.0712,0.07422,0.59245,0.33333,0.59245,0.07422,0.33333,0.59245,0.33333,0.07422,121212
"19",19,1,1417,9,"english","clouds",0,"circles",0,"squares",1,"solid things",1,"striped things",0.5,"polka-dotted things",0.5,313,333,123,"green",322111,"True",3,1,2,21,27,22,0,0,1,0.5,0.25,0.25,NA,NA,NA,0.07434,0.33333,0.59232,0.88359,0.05905,0.05736,0.33333,0.33333,0.33333,0.07344,0.33333,0.59323,0.88408,0.05829,0.05763,0.33333,0.33333,0.33333,322111
"20",20,1,1733,10,"english","solid things",0,"striped things",1,"polka-dotted things",0.5,"clouds",0,"circles",1,"squares",0.5,223,213,112,"green",212112,"True",3,2,1,23,20,10,0,0.66667,0.33333,0,0.66667,0.33333,NA,NA,NA,0.13172,0.53495,0.33333,0.05201,0.61466,0.33333,0.33333,0.13172,0.53495,0.12864,0.53802,0.33333,0.05245,0.61422,0.33333,0.33333,0.12864,0.53802,212112
"21",21,1,733,11,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",1,"blue things",0.75,"red things",0.5,"green things",0.5,131,132,221,"cloud",212122,"True",1,2,3,7,16,5,NA,NA,NA,0.25,0.25,0.5,0.42857,0.28571,0.28571,0.53495,0.13172,0.33333,0.33333,0.13172,0.53495,0.60965,0.05702,0.33333,0.53802,0.12864,0.33333,0.33333,0.12864,0.53802,0.60969,0.05697,0.33333,212122
"22",22,1,341,12,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",1,"circles",0.5,"squares",0,132,332,222,"polka-dotted",213211,"True",2,3,1,16,18,14,0.66667,0.33333,0,NA,NA,NA,0.33333,0.33333,0.33333,0.8373,0.10834,0.05435,0.33333,0.13034,0.53633,0.33333,0.33333,0.33333,0.83901,0.1063,0.0547,0.33333,0.12811,0.53855,0.33333,0.33333,0.33333,213211
"23",23,1,1919,13,"english","clouds",1,"circles",0.2,"squares",0.5,"solid things",1,"striped things",0.55,"polka-dotted things",0,113,231,232,"green",111212,"False",3,1,2,19,8,17,0.58824,0.11765,0.29412,0.64516,0.35484,0,NA,NA,NA,0.5931,0.07357,0.33333,0.5931,0.33333,0.07357,0.09938,0.09938,0.80123,0.59154,0.07513,0.33333,0.59154,0.33333,0.07513,0.10128,0.10128,0.79744,111212
"24",24,1,2300,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,132,132,131,"red",213232,"False",3,2,1,16,16,7,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.13169,0.53498,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.12847,0.5382,0.33333,213232
"25",25,1,1196,15,"english","blue things",0.5,"red things",0,"green things",0.7,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,222,323,"circle",212232,"True",1,3,2,23,14,24,NA,NA,NA,0.33333,0.33333,0.33333,0.41667,0,0.58333,0.33333,0.53738,0.12929,0.33333,0.33333,0.33333,0.33333,0.05767,0.609,0.33333,0.539,0.12767,0.33333,0.33333,0.33333,0.33333,0.05721,0.60946,213222
"26",26,1,267,16,"english","solid things",0.5,"striped things",0.2,"polka-dotted things",0.8,"clouds",0,"circles",0.5,"squares",0.35,233,123,232,"green",212222,"True",3,2,1,26,22,17,0,0.58824,0.41176,0.33333,0.13333,0.53333,NA,NA,NA,0.05901,0.60766,0.33333,0.33333,0.05901,0.60766,0.33333,0.12772,0.53895,0.05775,0.60892,0.33333,0.33333,0.05775,0.60892,0.33333,0.12708,0.53959,212222
"27",27,1,178,17,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0,"red things",0.5,"green things",1,323,321,321,"striped",323212,"True",2,1,3,24,6,6,0.33333,0.33333,0.33333,NA,NA,NA,0,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.03901,0.33333,0.62766,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.04023,0.33333,0.62644,323212
"28",28,1,1095,18,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0,"red things",0.5,"green things",1,123,321,221,"cloud",113212,"False",1,2,3,22,6,5,NA,NA,NA,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.79794,0.10103,0.10103,0.33333,0.33333,0.33333,0.07492,0.33333,0.59174,0.79603,0.10198,0.10198,0.33333,0.33333,0.33333,0.07571,0.33333,0.59096,113212
"29",29,1,2090,19,"english","solid things",0,"striped things",1,"polka-dotted things",0,"clouds",1,"circles",0,"squares",0,121,211,331,"blue",321111,"True",3,2,1,4,2,9,1,0,0,0,1,0,NA,NA,NA,0.88509,0.05745,0.05745,0.05745,0.88509,0.05745,0.33333,0.33333,0.33333,0.88466,0.05767,0.05767,0.05767,0.88466,0.05767,0.33333,0.33333,0.33333,321111
"30",30,1,676,20,"english","clouds",0,"circles",0.5,"squares",0.5,"blue things",0,"red things",0,"green things",1,333,132,321,"polka-dotted",212211,"True",2,1,3,27,16,6,0,0.5,0.5,NA,NA,NA,0,0,1,0.05729,0.33333,0.60938,0.33333,0.12881,0.53786,0.10802,0.05572,0.83626,0.0571,0.33333,0.60957,0.33333,0.12753,0.53913,0.1062,0.05524,0.83856,212211
"31",31,2,1527,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,212,222,"circle",322112,"True",1,2,3,20,11,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.56461,0.10205,0.33333,0.33333,0.04711,0.61956,0.33333,0.33333,0.33333,0.56222,0.10444,0.33333,0.33333,0.04629,0.62038,322112
"32",32,2,392,7,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,312,322,"cloud",122132,"False",1,3,2,10,12,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.35095,0.33333,0.31572,0.34711,0.31956,0.33333,0.33333,0.33333,0.33333,0.35158,0.33333,0.31508,0.34719,0.31948,0.33333,0.33333,0.33333,0.33333,123221
"33",33,2,1156,8,"English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,232,222,231,"red",212232,"True",3,2,1,17,14,8,0.33333,0.33333,0.33333,0.05,0.05,0.9,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.07032,0.59634,0.32729,0.33938,0.33333,0.33333,0.33333,0.33333,0.33333,0.07325,0.59342,0.32743,0.33924,0.33333,213222
"34",34,2,1981,9,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,211,211,211,"circle",323232,"False",1,3,2,2,2,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232
"35",35,2,646,10,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,221,332,"green",112121,"False",3,2,1,23,5,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.34279,0.32387,0.33333,0.34279,0.32387,0.32083,0.32871,0.35046,0.33333,0.34246,0.3242,0.33333,0.34246,0.3242,0.32054,0.32917,0.35029,112121
"36",36,2,1284,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,111,332,"green",111111,"False",3,1,2,23,1,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.32314,0.35372,0.32314,0.32314,0.35372,0.32314,0.32314,0.32314,0.35372,0.32307,0.35385,0.32307,0.32307,0.35385,0.32307,0.32307,0.32307,0.35385,111111
"37",37,2,307,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.95,"circles",0.5,"squares",0.05,131,331,211,"polka-dotted",213211,"True",2,3,1,7,9,2,0.63333,0.33333,0.03333,NA,NA,NA,0.33333,0.33333,0.33333,0.62055,0.32584,0.05362,0.32768,0.33333,0.33899,0.33333,0.33333,0.33333,0.62018,0.326,0.05382,0.3278,0.33333,0.33886,0.33333,0.33333,0.33333,213211
"38",38,2,2250,13,"English","clouds",0.95,"circles",0,"squares",0.05,"blue things",0.5,"red things",0.5,"green things",0.5,131,231,331,"polka-dotted",323211,"True",2,1,3,7,8,9,0.95,0,0.05,NA,NA,NA,0.33333,0.33333,0.33333,0.85266,0.07367,0.07367,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.85209,0.07395,0.07395,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323211
"39",39,2,437,14,"English","solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.5,"red things",0.05,"green things",0.95,213,232,222,"circle",321112,"True",1,2,3,20,17,14,NA,NA,NA,0.90476,0.04762,0.04762,0.33333,0.03333,0.63333,0.33333,0.33333,0.33333,0.87385,0.06307,0.06307,0.33333,0.04488,0.62179,0.33333,0.33333,0.33333,0.87576,0.06212,0.06212,0.33333,0.04416,0.62251,321211
"40",40,2,1114,15,"English","solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,"clouds",0.9,"circles",0.5,"squares",0,122,312,312,"red",321212,"True",3,2,1,13,12,12,0.64286,0.35714,0,0.03448,0.62069,0.34483,NA,NA,NA,0.6305,0.33333,0.03617,0.03617,0.6305,0.33333,0.33333,0.33333,0.33333,0.6323,0.33333,0.03436,0.03436,0.6323,0.33333,0.33333,0.33333,0.33333,321212
"41",41,2,1525,16,"English","blue things",0.95,"red things",0.5,"green things",0.05,"clouds",0.95,"circles",0.5,"squares",0.1,111,113,313,"solid",322112,"True",2,3,1,1,19,21,0.6129,0.32258,0.06452,NA,NA,NA,0.63333,0.33333,0.03333,0.56461,0.33333,0.10205,0.33333,0.33333,0.33333,0.61956,0.33333,0.04711,0.56222,0.33333,0.10444,0.33333,0.33333,0.33333,0.62038,0.33333,0.04629,322112
"42",42,2,1427,17,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0.5,"blue things",0,"red things",0,"green things",0.95,123,121,112,"cloud",322111,"True",1,2,3,22,4,10,NA,NA,NA,0.03333,0.63333,0.33333,0,0,1,0.33333,0.33333,0.33333,0.10663,0.56004,0.33333,0.07262,0.08692,0.84046,0.33333,0.33333,0.33333,0.10898,0.55769,0.33333,0.07275,0.08901,0.83824,322111
"43",43,2,185,18,"English","solid things",0.05,"striped things",0.5,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,331,311,311,"blue",323212,"True",3,2,1,9,3,3,0.33333,0.33333,0.33333,0.03448,0.34483,0.62069,NA,NA,NA,0.33333,0.33333,0.33333,0.04147,0.33333,0.6252,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.03983,0.33333,0.62684,0.33333,0.33333,0.33333,323212
"44",44,2,1630,19,"English","clouds",0,"circles",0.95,"squares",0,"blue things",0.95,"red things",0.5,"green things",0.05,221,123,313,"striped",211112,"True",2,1,3,5,22,21,0,1,0,NA,NA,NA,0.63333,0.33333,0.03333,0.04659,0.64606,0.30735,0.32697,0.33969,0.33333,0.59246,0.33333,0.0742,0.046,0.64878,0.30523,0.32702,0.33965,0.33333,0.59353,0.33333,0.07314,211211
"45",45,2,1249,20,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,323,122,111,"green",112112,"False",3,2,1,24,13,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.31656,0.33333,0.35011,0.31955,0.34712,0.33333,0.32479,0.31915,0.35606,0.31622,0.33333,0.35045,0.31947,0.3472,0.33333,0.32495,0.31852,0.35653,112112
"46",46,3,1501,6,"English","clouds",0.8,"circles",0.55,"squares",0.5,"blue things",0.8,"red things",0.1,"green things",0.5,121,321,322,"striped",322112,"True",2,1,3,4,6,15,0.43243,0.2973,0.27027,NA,NA,NA,0.57143,0.07143,0.35714,0.61945,0.33333,0.04722,0.33333,0.33333,0.33333,0.56361,0.10306,0.33333,0.61341,0.33333,0.05326,0.33333,0.33333,0.33333,0.5678,0.09887,0.33333,322112
"47",47,3,1592,7,"English","blue things",0.55,"red things",0.95,"green things",0.1,"clouds",0.05,"circles",0.95,"squares",0.5,232,232,133,"polka-dotted",322121,"True",2,3,1,17,17,25,0.03333,0.63333,0.33333,NA,NA,NA,0.34375,0.59375,0.0625,0.13084,0.53583,0.33333,0.33333,0.33333,0.33333,0.33333,0.53583,0.13084,0.10934,0.55733,0.33333,0.33333,0.33333,0.33333,0.33333,0.55733,0.10934,322121
"48",48,3,79,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,323,121,112,"square",122111,"False",1,3,2,24,4,10,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122111
"49",49,3,1750,9,"English","blue things",0,"red things",0.9,"green things",0.45,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,232,231,321,"circle",212112,"True",1,3,2,17,8,6,NA,NA,NA,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.07125,0.59542,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.0835,0.58316,0.33333,212112
"50",50,3,1572,10,"English","blue things",0.95,"red things",0.05,"green things",0.5,"solid things",0.95,"striped things",0,"polka-dotted things",0.5,311,311,322,"square",322121,"True",1,3,2,3,3,15,NA,NA,NA,0.65517,0,0.34483,0.63333,0.03333,0.33333,0.33333,0.33333,0.33333,0.53583,0.13084,0.33333,0.53583,0.13084,0.33333,0.33333,0.33333,0.33333,0.55733,0.10934,0.33333,0.55733,0.10934,0.33333,322121
"51",51,3,1491,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,133,111,121,"green",123211,"False",3,1,2,25,1,4,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123211
"52",52,3,1331,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,122,321,312,"cloud",122122,"False",1,3,2,13,6,12,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122122
"53",53,3,883,13,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,233,131,323,"circle",112122,"False",1,3,2,26,7,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122
"54",54,3,2313,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,332,232,232,"square",123232,"False",1,3,2,18,17,17,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123232
"55",55,3,273,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.15,233,323,231,"green",212222,"True",3,2,1,26,24,8,0.32258,0.58065,0.09677,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.58538,0.08128,0.33333,0.08128,0.58538,0.33333,0.33333,0.33333,0.33333,0.5985,0.06817,0.33333,0.06817,0.5985,0.33333,0.33333,0.33333,212222
"56",56,3,1621,16,"English","clouds",0.95,"circles",0.15,"squares",0.5,"solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,132,212,221,"red",211112,"True",3,1,2,16,11,5,0.59375,0.09375,0.3125,0.03448,0.62069,0.34483,NA,NA,NA,0.59211,0.07456,0.33333,0.04612,0.31489,0.63899,0.33333,0.33333,0.33333,0.58256,0.0841,0.33333,0.0521,0.32563,0.62226,0.33333,0.33333,0.33333,211211
"57",57,3,419,17,"English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0.5,"red things",0.05,"green things",0.9,123,132,112,"cloud",321112,"True",1,2,3,22,16,10,NA,NA,NA,0.04762,0.95238,0,0.34483,0.03448,0.62069,0.33333,0.33333,0.33333,0.06317,0.87367,0.06317,0.33333,0.04495,0.62172,0.33333,0.33333,0.33333,0.07191,0.85618,0.07191,0.33333,0.05165,0.61501,321211
"58",58,3,169,18,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.95,"green things",0.05,322,323,323,"square",323212,"True",1,2,3,15,24,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.63333,0.03333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.62523,0.04143,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.61566,0.05101,323212
"59",59,3,182,19,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.9,"green things",0.1,312,313,313,"square",323212,"True",1,2,3,12,21,21,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.6,0.06667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.62523,0.04143,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.61566,0.05101,323212
